Date,Home,Away,Score,Status
"May 11, 9:00pm",CR Khemis Zemamra,Olympique Dcheïra,,Stats
"May 11, 7:00pm",Yacoub El Mansour,Kawkab Marrakech,,Stats
"May 11, 5:00pm",Olympic Safi,FUS Rabat,,Stats
"May 10, 9:00pm",Hassania Agadir,FAR Rabat,,Stats
"May 10, 7:00pm",CODM Meknès,RSB Berkane,,Stats
"May 10, 7:00pm",UTS Rabat,Maghreb Fès,,Stats
"May 10, 5:00pm",Ittihad Tanger,Difaâ El Jadida,,Stats
"May 9, 8:00pm",Raja Casablanca,Wydad Casablanca,,Stats
"May 8, 9:00pm",Kawkab Marrakech,CR Khemis Zemamra,,Stats
"May 8, 7:00pm",Olympique Dcheïra,Yacoub El Mansour,,Stats
"May 7, 9:00pm",FAR Rabat,Olympic Safi,,Stats
"May 7, 7:00pm",RSB Berkane,UTS Rabat,,Stats
"May 7, 5:00pm",Difaâ El Jadida,Hassania Agadir,,Stats
"May 6, 9:00pm",Maghreb Fès,Raja Casablanca,,Stats
"May 6, 7:00pm",Wydad Casablanca,CODM Meknès,,Stats
"May 6, 5:00pm",FUS Rabat,Ittihad Tanger,,Stats
"May 4, 9:00pm",Kawkab Marrakech,Olympique Dcheïra,,Stats
"May 4, 7:00pm",Yacoub El Mansour,RSB Berkane,,Stats
"May 4, 5:00pm",Hassania Agadir,Olympic Safi,,Stats
"May 3, 9:00pm",Ittihad Tanger,FAR Rabat,,Stats
"May 3, 7:00pm",Raja Casablanca,Difaâ El Jadida,,Stats
"May 3, 7:00pm",UTS Rabat,FUS Rabat,,Stats
"May 3, 5:00pm",CR Khemis Zemamra,Wydad Casablanca,,Stats
"May 2, 8:00pm",CODM Meknès,Maghreb Fès,,Stats
,RSB Berkane,Kawkab Marrakech,,Stats
,FAR Rabat,Raja Casablanca,,Stats
,Difaâ El Jadida,CR Khemis Zemamra,,Stats
,Olympique Dcheïra,UTS Rabat,,Stats
,Maghreb Fès,Hassania Agadir,4 - 0,FT
,Olympic Safi,Ittihad Tanger,1 - 2,FT
,Wydad Casablanca,Yacoub El Mansour,1 - 2,FT
,FUS Rabat,CODM Meknès,1 - 0,FT
,RSB Berkane,Olympique Dcheïra,2 - 1,FT
,Yacoub El Mansour,FAR Rabat,2 - 2,FT
,Raja Casablanca,FUS Rabat,4 - 1,FT
,CR Khemis Zemamra,Maghreb Fès,1 - 2,FT
,Kawkab Marrakech,Wydad Casablanca,0 - 0,FT
,UTS Rabat,Olympic Safi,1 - 1,FT
,CODM Meknès,Difaâ El Jadida,0 - 1,FT
,Hassania Agadir,Ittihad Tanger,1 - 1,FT
,FAR Rabat,RSB Berkane,0 - 0,FT
,Olympic Safi,CR Khemis Zemamra,1 - 3,FT
,Maghreb Fès,Wydad Casablanca,1 - 0,FT
