player_name,player_url,club,position,nationality,kit_number,age,rating,matches_played,minutes,minutes_per90,annual_salary,matches_started,matches_subbed_in,matches_subbed_out,goals_scored,goals_scored_per90,goal_involvement,goal_involvement_per90,goals_at_home,goals_at_home_per90,goals_at_away,goals_at_away_per90,expected_goals_xg,expected_goals_xg_per90,non-penalty_xg_npxg,non-penalty_xg_npxg_per90,penalties_scored,hat-tricks,3_or_more_goals,2_or_more_goals,minutes_per_goal,shots_taken,shots_taken_per90,shots_on_target,shots_on_target_per90,shots_off_target,shots_off_target_per90,hit_the_woodwork,hit_the_woodwork_per90,shot_conversion_rate,shot_accuracy,shots_per_goal_scored,assists,assists_per90,expected_assists_xa,expected_assists_xa_per90,passes,passes_per90,successful_passes,successful_passes_per90,pass_completion_rate,key_passes,key_passes_per90,crosses,crosses_per90,successful_crosses,successful_crosses_per90,cross_completion_rate,minutes_per_assist,dribbles,dribbles_per90,successful_dribbles,successful_dribbles_per90,dribble_success_rate,dispossesed,dispossesed_per90,offsides,offsides_per90,yellow_cards,red_cards,total_cards,total_cards_per90,minutes_per_booking,cards_over_0.5,cards_over_0.5_per90,fouls_committed,fouls_committed_per90,fouled_against,fouled_against_per90,goals_conceded,goals_conceded_per90,minutes_per_goal_conceded,clean_sheets,clean_sheets_per90,tackles,tackles_per90,interceptions,interceptions_per90,ground_duels,ground_duels_per90,ground_duels_won,ground_duels_won_per90,aerial_duels_won,aerial_duels_won_per90,dribbled_past,dribbled_past_per90,clearances,clearances_per90,shots_blocked,shots_blocked_per90,penalties_given_away,penalties_given_away_per90,penalty_conversion_rate,penalty_conversion_rate_per90,penalties_taken,penalties_taken_per90,penalties_scored_per90,penalties_missed,penalties_missed_per90,shots_faced,shots_faced_per90,saves,saves_per90,save_percentage,save_percentage_per90,punches,punches_per90
Soufiane Benjdida,https://footystats.org/players/morocco/soufiane-benjdida,"Maghreb FèsNational Team : Raja CasablancaPosition : ForwardNationality : MoroccoKit Number : #9Age : 24 (September 5, 2001)Annual Salary (Euros) : €220,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","ForwardNationality : MoroccoKit Number : #9Age : 24 (September 5, 2001)Annual Salary (Euros) : €220,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #9Age : 24 (September 5, 2001)Annual Salary (Euros) : €220,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,24.0,2.0,17,1493,88 min' per appearance,"€220,000",17,0,1,16,0.96,18,1.09,10,1.27,6,0.69,8.16,0.49,6.76,0.41,0,1,1,2,93 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.12,1.19,0.07,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,747 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,2,0,2,0.12,747 min' / card,2,12%,0,0.0,0,0.0,5,0.3,299 min',10,59%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,100%,0,2,2,0,0,,,,,,,,
Mounir Chouiar,https://footystats.org/players/france/mounir-chouiar,"RSB BerkaneNational Team : RSB BerkanePosition : MidfielderNationality : FranceFoot : RightKit Number : #23Age : 27 (January 23, 1999)Height : 177cmWeight : 75kgAnnual Salary (Euros) : €900,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : FranceFoot : RightKit Number : #23Age : 27 (January 23, 1999)Height : 177cmWeight : 75kgAnnual Salary (Euros) : €900,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","FranceFoot : RightKit Number : #23Age : 27 (January 23, 1999)Height : 177cmWeight : 75kgAnnual Salary (Euros) : €900,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,27.0,65.0,10,818,82 min' per appearance,,9,1,2,4,0.44,5,0.55,2,0.4,2,0.49,3.69,0.41,2.29,0.25,0,0,0,0,205 min' / goal,17,1.87,7/ 17,0.77,10/ 17,1.1,1 times,0.11,23.53%,41.18%,4.25,1,0.11,1.77,0.19,320,35.21,262/ 320,28.83,81.88%,18,1.98,52,5.72,20/ 52,2.2,38.46%,818 min' / assist,28,3.08,16.0,1.76,57.14%,20,2.2,4.0,0.44,1,0,1,0.11,818 min' / card,1,10%,12,1.32,25,2.75,5,0.55,164 min',5,50%,10,1.1,8,0.88,102,11.22,53,5.83,4,0.44,1,0.11,3,0.33,0,0.0,0,0.0,No Pens,0%,0,3,0,0,3,,,,,,,,
Mohamed Rabie Hrimat,https://footystats.org/players/morocco/mohamed-rabie-hrimat,"FAR RabatNational Team : MoroccoPosition : DefenderNationality : MoroccoBirthplace : Rabat - MoroccoKit Number : #34Age : 31 (September 17, 1994)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","DefenderNationality : MoroccoBirthplace : Rabat - MoroccoKit Number : #34Age : 31 (September 17, 1994)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoBirthplace : Rabat - MoroccoKit Number : #34Age : 31 (September 17, 1994)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,31.0,8.0,2,89,45 min' per appearance,,1,1,2,0,0.0,0,0.0,0,0.0,0,0.0,0.07,0.07,0.07,0.07,0,0,0,0,0 min' / goal,0,0.0,1/ 0,1.01,-1/ 0,0.22,0 times,0.0,0.00%,0.00%,0.0,0,0.0,0.08,0.08,43,43.48,40/ 43,40.45,93.02%,0,0.0,0,0.0,0/ 0,0.0,0.00%,No Assists,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,0,0,0,0.0,No Bookings,0,0%,2,2.02,1,1.01,2,2.02,45 min',0,0%,1,1.01,1,1.01,4,4.04,2,2.02,0,0.0,1,1.01,1,1.01,1,1.01,0,0.0,No Pens,75%,0,8,6,0,2,,,,,,,,
Youssef Elfahli,https://footystats.org/players/morocco/youssef-elfahli,"FAR RabatNational Team : RSB BerkanePosition : MidfielderNationality : MoroccoBirthplace : Morocco - MoroccoKit Number : #7GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoBirthplace : Morocco - MoroccoKit Number : #7GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoBirthplace : Morocco - MoroccoKit Number : #7GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,,106.0,10,832,83 min' per appearance,,9,1,1,0,0.0,1,0.11,0,0.0,0,0.0,0.42,0.05,0.42,0.05,0,0,0,0,0 min' / goal,8,0.87,0/ 8,0.0,8/ 8,0.87,0 times,0.0,0.00%,0.00%,0.0,1,0.11,1.21,0.13,172,18.61,97/ 172,10.49,56.40%,12,1.3,32,3.46,8/ 32,0.87,25.00%,832 min' / assist,17,1.84,5.0,0.54,29.41%,13,1.41,15.0,1.62,2,0,2,0.22,416 min' / card,2,20%,18,1.95,18,1.95,5,0.54,166 min',5,50%,9,0.97,7,0.76,138,14.93,53,5.73,25,2.7,9,0.97,8,0.87,1,0.11,0,0.0,No Pens,100%,0,1,1,0,0,,,,,,,,
Baba Bello Ilou,https://footystats.org/players/cameroon/baba-bello-ilou,"Hassania AgadirPosition : MidfielderNationality : CameroonKit Number : #17Age : 21 (January 28, 2005)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : CameroonKit Number : #17Age : 21 (January 28, 2005)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","CameroonKit Number : #17Age : 21 (January 28, 2005)GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,21.0,225.0,13,884,68 min' per appearance,,9,4,1,7,0.71,7,0.71,2,0.55,5,0.81,4.17,0.35,3.47,0.29,0,0,0,0,126 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,0,0.0,0.0,0.0,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,No Assists,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,0,0,0,0.0,No Bookings,0,0%,0,0.0,0,0.0,17,1.73,52 min',1,8%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Youness Dahmani,https://footystats.org/players/morocco/youness-dahmani,"UTS RabatPosition : MidfielderNationality : MoroccoKit Number : #18Age : 25 (December 18, 2000)Annual Salary (Euros) : €55,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #18Age : 25 (December 18, 2000)Annual Salary (Euros) : €55,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #18Age : 25 (December 18, 2000)Annual Salary (Euros) : €55,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,25.0,75.0,16,1434,90 min' per appearance,"€55,000",16,0,1,7,0.44,9,0.56,4,0.45,3,0.43,4.7,0.32,3.3,0.23,0,0,0,0,205 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,2,0.13,1.29,0.09,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,717 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,5,0,5,0.31,287 min' / card,5,31%,0,0.0,0,0.0,21,1.32,68 min',0,0%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
Youssef Mehri,https://footystats.org/players/morocco/youssef-mehri,"RSB BerkaneNational Team : MoroccoPosition : ForwardNationality : MoroccoBirthplace : Marrakech - MoroccoKit Number : #11Age : 26 (September 7, 1999)Annual Salary (Euros) : €320,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","ForwardNationality : MoroccoBirthplace : Marrakech - MoroccoKit Number : #11Age : 26 (September 7, 1999)Annual Salary (Euros) : €320,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoBirthplace : Marrakech - MoroccoKit Number : #11Age : 26 (September 7, 1999)Annual Salary (Euros) : €320,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,26.0,14.0,9,616,68 min' per appearance,"€320,000",7,2,2,1,0.15,1,0.15,1,0.27,0,0.0,1.45,0.21,1.45,0.21,0,0,0,0,616 min' / goal,11,1.61,4/ 11,0.58,7/ 11,1.02,0 times,0.0,9.09%,36.36%,11.0,0,0.0,0.4,0.06,189,27.61,136/ 189,19.87,71.96%,4,0.58,26,3.8,4/ 26,0.58,15.38%,No Assists,7,1.02,2.0,0.29,28.57%,7,1.02,9.0,1.31,2,0,2,0.29,308 min' / card,2,22%,8,1.17,4,0.58,5,0.73,123 min',5,56%,11,1.61,1,0.15,72,10.52,27,3.94,10,1.46,4,0.58,4,0.58,1,0.15,0,0.0,No Pens,75%,0,4,3,0,1,,,,,,,,
Adam Ennaffati,https://footystats.org/players/morocco/adam-ennaffati,"Raja CasablancaNational Team : MoroccoPosition : ForwardNationality : MoroccoKit Number : #77Age : 31 (June 29, 1994)Annual Salary (Euros) : €230,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","ForwardNationality : MoroccoKit Number : #77Age : 31 (June 29, 1994)Annual Salary (Euros) : €230,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #77Age : 31 (June 29, 1994)Annual Salary (Euros) : €230,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,31.0,9.0,12,924,77 min' per appearance,"€230,000",11,1,4,6,0.58,7,0.68,4,0.78,2,0.39,3.54,0.34,1.44,0.14,0,0,0,0,154 min' / goal,0,0.0,0/ 0,0.0,0/ 0,0.0,0 times,0.0,0.00%,0.00%,0.0,1,0.1,0.53,0.05,0,0.0,0/ 0,0.0,0.00%,0,0.0,0,0.0,0/ 0,0.0,0.00%,924 min' / assist,0,0.0,0.0,0.0,0.00%,0,0.0,0.0,0.0,2,0,2,0.19,462 min' / card,2,17%,0,0.0,0,0.0,4,0.39,231 min',7,57%,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,No Pens,50%,0,2,1,0,1,,,,,,,,
Oussama Lamlaoui,https://footystats.org/players/morocco/oussama-lamlaoui,"RSB BerkaneNational Team : MoroccoPosition : ForwardNationality : MoroccoKit Number : #9Age : 30 (January 2, 1996)Annual Salary (Euros) : €435,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","ForwardNationality : MoroccoKit Number : #9Age : 30 (January 2, 1996)Annual Salary (Euros) : €435,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #9Age : 30 (January 2, 1996)Annual Salary (Euros) : €435,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,30.0,1.0,5,324,65 min' per appearance,"€435,000",3,2,1,0,0.0,0,0.0,0,0.0,0,0.0,1.1,0.31,1.1,0.31,0,0,0,0,0 min' / goal,15,4.17,4/ 15,1.11,11/ 15,3.06,0 times,0.0,0.00%,26.67%,0.0,0,0.0,0.21,0.06,61,16.94,48/ 61,13.33,78.69%,3,0.83,2,0.56,0/ 2,0.0,0.00%,No Assists,4,1.11,2.0,0.56,50.00%,3,0.83,4.0,1.11,0,0,0,0.0,No Bookings,0,0%,3,0.83,4,1.11,3,0.83,108 min',2,40%,0,0.0,1,0.28,27,7.5,12,3.33,6,1.67,1,0.28,1,0.28,0,0.0,0,0.0,No Pens,100%,0,2,2,0,0,,,,,,,,
Hamza Hannouri,https://footystats.org/players/morocco/hamza-hannouri,"Wydad CasablancaPosition : MidfielderNationality : MoroccoKit Number : #29Age : 28 (January 22, 1998)Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MidfielderNationality : MoroccoKit Number : #29Age : 28 (January 22, 1998)Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons","MoroccoKit Number : #29Age : 28 (January 22, 1998)Annual Salary (Euros) : €160,000GeneralGoals, xG, ShotsAssists & PassesDribblingCards & FoulsDefendingPenaltiesPast Seasons",,28.0,96.0,8,596,75 min' per appearance,"€160,000",6,2,2,1,0.15,2,0.3,0,0.0,1,0.3,1.8,0.27,1.1,0.17,0,0,0,0,596 min' / goal,13,1.96,6/ 13,0.91,7/ 13,1.06,0 times,0.0,7.69%,46.15%,13.0,1,0.15,1.14,0.17,109,16.46,75/ 109,11.33,68.81%,11,1.66,2,0.3,0/ 2,0.0,0.00%,596 min' / assist,2,0.3,0.0,0.0,0.00%,8,1.21,1.0,0.15,1,0,1,0.15,596 min' / card,1,12%,17,2.57,8,1.21,3,0.45,199 min',5,63%,4,0.6,3,0.45,83,12.53,38,5.74,28,4.23,2,0.3,5,0.76,1,0.15,0,0.0,No Pens,No Pens,0,0,0,0,0,,,,,,,,
