Category,Rank,Player,Value,Metric
Top Scorers,1,Soufiane Benjdida,16,Goals
Top Scorers,2,Mounir Chouiar,7,Goals
Top Scorers,3,Youssef Elfahli,7,Goals
Top Scorers,4,Mohamed Rabie Hrimat,7,Goals
Top Scorers,5,Baba Bello Ilou,7,Goals
Top Scorers,6,Youssef Mehri,6,Goals
Top Scorers,7,Youness Dahmani,6,Goals
Top Scorers,8,Adam Ennaffati,5,Goals
Top Scorers,9,Oussama Lamlaoui,5,Goals
Top Scorers,10,Moussa Koné,5,Goals
Top Scorers,11,Hamza Hannouri,5,Goals
Top Scorers,12,Zakaria Fati,5,Goals
Top Scorers,13,El Yazid Faffa,5,Goals
Top Scorers,14,Soulyman Allouch,4,Goals
Top Scorers,15,Walid Sabbar,4,Goals
Top Scorers,16,Ayoub Mouloua,4,Goals
Top Scorers,17,Ayoub Benaadi,4,Goals
Top Scorers,18,Salah-eddine Benyachou,4,Goals
Top Scorers,19,Thembinkosi Lorch,4,Goals
Top Scorers,20,Hamza El Janati,4,Goals
Top Scorers,21,Ramiro Vaca Ponce,3,Goals
Top Scorers,22,Yassine Jabrane,3,Goals
Top Scorers,23,Abdellah Ziani,3,Goals
Top Scorers,24,Romuald Dacosta,3,Goals
Top Scorers,25,Hicham Ait Brayem,3,Goals
Top Scorers,26,Lamina Diakité,3,Goals
Top Scorers,27,Ismail Khafi,3,Goals
Top Scorers,28,Abdellah Khafifi,3,Goals
Top Scorers,29,Karim Lagrouch,3,Goals
Top Scorers,30,Haitam El Bahja,3,Goals
Top Scorers,31,Younes El Bahraoui,3,Goals
Top Scorers,32,Amine Souane,2,Goals
Top Scorers,33,Reda Ait Boughima,2,Goals
Top Scorers,34,Sallah Moussaddaq Kerboub,2,Goals
Top Scorers,35,Youness El Kaabi,2,Goals
Top Scorers,36,Hakim Ziyech,2,Goals
Top Scorers,37,Mountassir Lahtimi,2,Goals
Top Scorers,38,Faraji Karmoune,2,Goals
Top Scorers,39,Mohammad El Fakih,2,Goals
Top Scorers,40,Yacine Bammou,2,Goals
Top Scorers,41,Mohammed Amine Essahel,2,Goals
Top Scorers,42,Nacer Moustaghfir,2,Goals
Top Scorers,43,Nordin Amrabat,2,Goals
Top Scorers,44,Mathias Oyewusi,2,Goals
Top Scorers,45,Papa Magueye Gaye,2,Goals
Top Scorers,46,Jalal Eddine El Khfiyef,2,Goals
Top Scorers,47,Driss El Jabli,2,Goals
Top Scorers,48,Soufyan Ahannach,2,Goals
Top Scorers,49,Mouad Mouchtanim,2,Goals
Top Scorers,50,Larbi Naji,2,Goals
Assists Table,1,Anas Tahiri,6,Assists
Assists Table,2,Abdel Hamid Maâli,5,Assists
Assists Table,3,Ayoub Benaadi,4,Assists
Assists Table,4,Mohamed Moufid,4,Assists
Assists Table,5,Soufiane Tazi,3,Assists
Assists Table,6,Achraf Harmach,3,Assists
Assists Table,7,Imad Khannouss,3,Assists
Assists Table,8,Hamza El Moussaoui,3,Assists
Assists Table,9,Ramiro Vaca Ponce,3,Assists
Assists Table,10,Mohamed Al Makahasi,3,Assists
Assists Table,11,Reda Slim,3,Assists
