Club,Number,Position,Nationality,Player,Captain
DH El-Jadida,1,GK,MAR,Marouane Bessak,False
DH El-Jadida,2,DF,MAR,Oussama Benchchaoui,False
DH El-Jadida,3,DF,MAR,Hamza Malki,False
DH El-Jadida,4,DF,MAR,Marouane Lemzaouri,False
DH El-Jadida,5,DF,MLI,Abdoulaye Sanogo,False
DH El-Jadida,6,MF,MAR,Brahim Bouzidi,False
DH El-Jadida,7,DF,MAR,Imad Sabik,False
DH El-Jadida,8,MF,MAR,Ayoub El Khafi,False
DH El-Jadida,9,FW,MAR,Yassine Lamine,False
DH El-Jadida,10,MF,MAR,Mouad Mouchtanim,False
DH El-Jadida,13,DF,MAR,Aymen Riyane,False
DH El-Jadida,14,DF,MAR,Mohamed Bentarcha,False
DH El-Jadida,16,GK,MAR,Ayoub Ait Wahmane,False
DH El-Jadida,17,FW,MAR,Abderrazak Ennakouss,False
DH El-Jadida,18,MF,MTN,Moctar El Hacen,False
DH El-Jadida,19,MF,MAR,Houdaifa Jamaäne,False
DH El-Jadida,20,DF,MAR,Yassine Fatine,False
DH El-Jadida,22,MF,MAR,Mohamed Hilali,False
DH El-Jadida,23,DF,MAR,Soufiane Abaaziz,False
DH El-Jadida,24,DF,MAR,Zakaria Oubraim,False
DH El-Jadida,30,GK,MTN,Babacar Niasse,False
DH El-Jadida,55,FW,SEN,Papa Diallo,False
DH El-Jadida,77,FW,MAR,Abdellah Ziani,False
DH El-Jadida,80,FW,SEN,Romuald Dacosta,False
DH El-Jadida,88,MF,MAR,Youssef Michte,False
DH El-Jadida,99,MF,MAR,Achraf Al Idrissi,False
AS FAR,1,GK,MAR,Ayoub El Khayati,False
AS FAR,2,DF,ANG,Tó Carneiro,False
AS FAR,3,MF,MAR,Anas Bach,False
AS FAR,4,DF,SEN,Fallou Mendy,False
AS FAR,5,DF,MAR,Yunis Abdelhamid,False
AS FAR,6,MF,MAR,Zineddine Derrag,False
AS FAR,7,FW,MAR,Youssef El Fahli,False
AS FAR,8,MF,MAR,Khalid Aït Ouarkhane,False
AS FAR,9,FW,MAR,Mouhcine Bouriga,False
AS FAR,10,FW,MAR,Reda Slim,False
AS FAR,11,FW,MAR,Ahmed Hammoudan,False
AS FAR,14,MF,MAR,Taoufik Razko,False
AS FAR,15,DF,MAR,Marouane Louadni,False
AS FAR,16,GK,MAR,Ahmed Reda Tagnaouti,False
AS FAR,17,FW,MAR,Hamza Khabba,False
AS FAR,19,MF,MAR,Jalal-Eddine El Khfiyef,False
AS FAR,22,GK,MAR,Hakim Mesbahi,False
AS FAR,23,DF,MAR,Jamal Ech-Chamakh,False
AS FAR,24,DF,MTN,Nouh Mohamed El Abd,False
AS FAR,26,MF,CGO,Nolan Mbemba,False
AS FAR,27,DF,MAR,Ayoub Ait Khassou,False
AS FAR,28,FW,COD,Gaëtan Laura,False
AS FAR,34,MF,MAR,Mohamed Rabie Hrimat,True
AS FAR,40,MF,MAR,Abdelfettah Hadraf,False
AS FAR,53,FW,BDI,Destin Maniriho,False
FUS Rabat,1,GK,MAR,Rachid Ghanimi,False
FUS Rabat,3,DF,MAR,Ayoub Mouddane,False
FUS Rabat,5,MF,MAR,Anas Serrhat,False
FUS Rabat,6,DF,MAR,Mouad Bahsain,False
FUS Rabat,8,MF,MAR,Abdessamad Mahir,False
FUS Rabat,9,FW,MAR,Ayoub Mouloua,False
FUS Rabat,12,GK,MAR,Mehdi Bellarabi,False
FUS Rabat,13,GK,MAR,Aymane Majid,False
FUS Rabat,14,MF,JOR,Amine Souane,False
FUS Rabat,16,DF,MAR,Anas El Makkaoui,False
FUS Rabat,18,DF,MAR,Hodifa El Mahssani,False
FUS Rabat,19,FW,MAR,Hamza Hannouri,False
FUS Rabat,20,FW,MAR,Salaheddine Benyachou,False
FUS Rabat,22,DF,MAR,El Mehdi El Bassil,False
FUS Rabat,23,DF,MAR,Zouheir El Hachemi,False
FUS Rabat,26,DF,MAR,Oussama Raoui,False
FUS Rabat,30,MF,MAR,Amine El Msane,False
