Club,Number,Position,Nationality,Player,Captain
AS FAR,1,GK,MAR,Ayoub El Khayati,False
AS FAR,2,DF,ANG,Tó Carneiro,False
AS FAR,3,MF,MAR,Anas Bach,False
AS FAR,4,DF,SEN,Fallou Mendy,False
AS FAR,5,DF,MAR,Yunis Abdelhamid,False
AS FAR,6,MF,MAR,Zineddine Derrag,False
AS FAR,7,FW,MAR,Youssef El Fahli,False
AS FAR,8,MF,MAR,Khalid Aït Ouarkhane,False
AS FAR,9,FW,MAR,Mouhcine Bouriga,False
AS FAR,10,FW,MAR,Reda Slim,False
AS FAR,11,FW,MAR,Ahmed Hammoudan,False
AS FAR,14,MF,MAR,Taoufik Razko,False
AS FAR,15,DF,MAR,Marouane Louadni,False
AS FAR,16,GK,MAR,Ahmed Reda Tagnaouti,False
AS FAR,17,FW,MAR,Hamza Khabba,False
AS FAR,19,MF,MAR,Jalal-Eddine El Khfiyef,False
AS FAR,22,GK,MAR,Hakim Mesbahi,False
AS FAR,23,DF,MAR,Jamal Ech-Chamakh,False
AS FAR,24,DF,MTN,Nouh Mohamed El Abd,False
AS FAR,26,MF,CGO,Nolan Mbemba,False
AS FAR,27,DF,MAR,Ayoub Ait Khassou,False
AS FAR,28,FW,COD,Gaëtan Laura,False
AS FAR,34,MF,MAR,Mohamed Rabie Hrimat,True
AS FAR,40,MF,MAR,Abdelfettah Hadraf,False
AS FAR,53,FW,BDI,Destin Maniriho,False
