Club,Number,Position,Nationality,Player,Captain
DH El-Jadida,1,GK,MAR,Marouane Bessak,False
DH El-Jadida,2,DF,MAR,Oussama Benchchaoui,False
DH El-Jadida,3,DF,MAR,Hamza Malki,False
DH El-Jadida,4,DF,MAR,Marouane Lemzaouri,False
DH El-Jadida,5,DF,MLI,Abdoulaye Sanogo,False
DH El-Jadida,6,MF,MAR,Brahim Bouzidi,False
DH El-Jadida,7,DF,MAR,Imad Sabik,False
DH El-Jadida,8,MF,MAR,Ayoub El Khafi,False
DH El-Jadida,9,FW,MAR,Yassine Lamine,False
DH El-Jadida,10,MF,MAR,Mouad Mouchtanim,False
DH El-Jadida,13,DF,MAR,Aymen Riyane,False
DH El-Jadida,14,DF,MAR,Mohamed Bentarcha,False
DH El-Jadida,16,GK,MAR,Ayoub Ait Wahmane,False
DH El-Jadida,17,FW,MAR,Abderrazak Ennakouss,False
DH El-Jadida,18,MF,MTN,Moctar El Hacen,False
DH El-Jadida,19,MF,MAR,Houdaifa Jamaäne,False
DH El-Jadida,20,DF,MAR,Yassine Fatine,False
DH El-Jadida,22,MF,MAR,Mohamed Hilali,False
DH El-Jadida,23,DF,MAR,Soufiane Abaaziz,False
DH El-Jadida,24,DF,MAR,Zakaria Oubraim,False
DH El-Jadida,30,GK,MTN,Babacar Niasse,False
DH El-Jadida,55,FW,SEN,Papa Diallo,False
DH El-Jadida,77,FW,MAR,Abdellah Ziani,False
DH El-Jadida,80,FW,SEN,Romuald Dacosta,False
DH El-Jadida,88,MF,MAR,Youssef Michte,False
DH El-Jadida,99,MF,MAR,Achraf Al Idrissi,False
