Club,Number,Position,Nationality,Player,Captain
FUS Rabat,1,GK,MAR,Rachid Ghanimi,False
FUS Rabat,3,DF,MAR,Ayoub Mouddane,False
FUS Rabat,5,MF,MAR,Anas Serrhat,False
FUS Rabat,6,DF,MAR,Mouad Bahsain,False
FUS Rabat,8,MF,MAR,Abdessamad Mahir,False
FUS Rabat,9,FW,MAR,Ayoub Mouloua,False
FUS Rabat,12,GK,MAR,Mehdi Bellarabi,False
FUS Rabat,13,GK,MAR,Aymane Majid,False
FUS Rabat,14,MF,JOR,Amine Souane,False
FUS Rabat,16,DF,MAR,Anas El Makkaoui,False
FUS Rabat,18,DF,MAR,Hodifa El Mahssani,False
FUS Rabat,19,FW,MAR,Hamza Hannouri,False
FUS Rabat,20,FW,MAR,Salaheddine Benyachou,False
FUS Rabat,22,DF,MAR,El Mehdi El Bassil,False
FUS Rabat,23,DF,MAR,Zouheir El Hachemi,False
FUS Rabat,26,DF,MAR,Oussama Raoui,False
FUS Rabat,30,MF,MAR,Amine El Msane,False
FUS Rabat,33,DF,MAR,Moncef Amri,False
FUS Rabat,34,DF,MAR,Oussama Soukhane,False
FUS Rabat,90,GK,MAR,Achraf Hilali,False
