Club,Number,Position,Nationality,Player,Captain
HUS Agadir,2,MF,MAR,Abderrahmane Qassaq,False
HUS Agadir,3,MF,MAR,Badreddine Octobre,False
HUS Agadir,5,MF,MAR,Jalal Tachtach,False
HUS Agadir,6,DF,MAR,Mouad Bahsain,False
HUS Agadir,7,FW,MAR,Mohamed Bakhkhach,False
HUS Agadir,8,MF,MAR,Zakaria Ami,False
HUS Agadir,9,FW,FRA,Walid Jarmouni,False
HUS Agadir,10,MF,MAR,Abdallah Boukhanfer,False
HUS Agadir,11,MF,ESP,Ayoub Yousfi,False
HUS Agadir,13,MF,MAR,Hamza Moumadi,False
HUS Agadir,15,FW,GLP,Ange-Freddy Plumain,False
HUS Agadir,16,MF,BEN,Rodrigue Kossi,False
HUS Agadir,17,FW,CMR,Baba Bello Ilou,False
HUS Agadir,18,DF,FRA,Zakary Lamgahez,False
HUS Agadir,19,DF,POR,Euclides Cabral,False
HUS Agadir,20,MF,MAR,Mohamed Katiba,False
HUS Agadir,21,DF,FRA,Nassim Ouammou,False
HUS Agadir,23,FW,MAR,Hamid Ahadad,False
HUS Agadir,25,DF,SEN,Assane Bèye,False
HUS Agadir,28,FW,MAR,Mohamed Ounajem,False
HUS Agadir,30,DF,MAR,Soulaiman El Amrani,False
HUS Agadir,31,GK,MAR,Ilyass Motik,False
HUS Agadir,33,FW,MAR,Fahd Bendahmane,False
HUS Agadir,36,DF,MAR,Younes El Amali,False
HUS Agadir,44,DF,MAR,Adil Garnan,False
HUS Agadir,61,GK,MAR,Badreddine Abyir,False
HUS Agadir,65,GK,MAR,Hicham El Majhad,False
HUS Agadir,95,MF,CGO,Fred Dembi,False
