Club,Number,Position,Nationality,Player,Captain
IR Tanger,1,DF,MAR,Amine El Ouad,False
IR Tanger,4,DF,MAR,Mohamed Saoud,True
IR Tanger,6,DF,MAR,Bilal El Ouadghiri,False
IR Tanger,8,MF,MAR,Faouzi Abdelmottalib,False
IR Tanger,9,FW,CGO,Dylan Saint-Louis,False
IR Tanger,10,MF,FRA,Mohamed El Arouch,False
IR Tanger,12,GK,TOG,Malcolm Barcola,False
IR Tanger,13,DF,MAR,Oussama Al Aiz,False
IR Tanger,14,FW,MAR,Haitam El Bahja,False
IR Tanger,16,MF,MAR,Ahmed Chentouf,True
IR Tanger,17,MF,MAR,Abdelhamid Maâli,False
IR Tanger,19,FW,MAR,Jawad Ghabra,False
IR Tanger,20,MF,MAR,Ennama El Bellali,False
IR Tanger,21,MF,MAR,Hamza Moudene,False
IR Tanger,22,DF,MAR,Zakaria Kiani,False
IR Tanger,23,DF,MAR,Anass Lamrabat,False
IR Tanger,25,GK,MAR,Ahmed Azmi,False
IR Tanger,28,FW,MAR,Karim Lagrouch,False
IR Tanger,38,FW,FRA,Livty Kpolo,False
IR Tanger,72,FW,SEN,Papa Magueye Gaye,False
IR Tanger,73,GK,MAR,Youssef Laghzal,False
IR Tanger,75,FW,SEN,Moussa Koté,False
IR Tanger,79,MF,CIV,Siriki Sanogo,False
IR Tanger,97,DF,MAR,Badr Gaddarine,False
IR Tanger,99,FW,BEL,Zakaria Bakkali,False
