Club,Number,Position,Nationality,Player,Captain
MAS Fes,2,MF,MAR,Hamza Afsal,False
MAS Fes,3,DF,ITA,Zakaria Hamadi,False
MAS Fes,4,DF,MAR,Saad Ait Khorsa,False
MAS Fes,5,DF,MAR,Aymane Chbani,False
MAS Fes,6,MF,MAR,Oussama Noureddine,False
MAS Fes,7,FW,BOT,Kabelo Seakanyeng,False
MAS Fes,8,MF,MAR,Achraf Harmach,False
MAS Fes,9,FW,MAR,Soufiane Benjdida,False
MAS Fes,11,FW,NED,Soulyman Allouch,False
MAS Fes,12,GK,MAR,Oussama Errahmany,False
MAS Fes,13,DF,MAR,Adil Rhaili,False
MAS Fes,16,GK,MAR,Salaheddine Chihab,False
MAS Fes,17,FW,FRA,Kevin Yamga,False
MAS Fes,19,MF,MAR,Anas Tahiri,False
MAS Fes,20,FW,MTN,Cheikhna Semega,False
MAS Fes,21,DF,MAR,Marouane Ouhrou,False
MAS Fes,23,MF,MAR,Nizar Guessous,False
MAS Fes,24,MF,MAR,Mohamed Loumim,False
MAS Fes,26,MF,MAR,Adam Brika,False
MAS Fes,27,MF,MAR,El Habib Brija,False
MAS Fes,28,DF,NGA,Benjamin Tanimu,False
MAS Fes,31,DF,MAR,Hamza Ait Allal,False
MAS Fes,32,DF,MAR,Driss El Jabli,False
MAS Fes,36,FW,MAR,Zakaria Allaoui,False
MAS Fes,68,MF,MAR,Khalid Baba,False
MAS Fes,77,FW,MAR,Youssef Dalouzi,False
MAS Fes,90,FW,CIV,Privat Djéssan Bi,False
MAS Fes,95,MF,MAR,Amine Oudrhiri,False
MAS Fes,99,GK,MAR,Walid Laghrissi,False
