Club,Number,Position,Nationality,Player,Captain
OC Safi,1,GK,MAR,Abderrahmane Kernane,False
OC Safi,2,DF,MAR,Anas Soufeir,False
OC Safi,3,DF,MAR,Walid Atik,False
OC Safi,4,DF,CGO,Fred Ngoma,False
OC Safi,5,MF,MAR,Salaheddine Errahouli,False
OC Safi,6,MF,FRA,Sofian El Moudane,False
OC Safi,7,FW,MAR,Anas Samoudi,False
OC Safi,8,MF,MAR,Faraji Karmoune,False
OC Safi,11,FW,MAR,Marwane Elaz,False
OC Safi,12,GK,MAR,Hamza Hamiani,False
OC Safi,13,DF,ALG,Houari Ferhani,False
OC Safi,14,FW,SEN,Moussa Koné,False
OC Safi,15,DF,MAR,Yassine Kordani,False
OC Safi,16,MF,MAR,Oussama Ichou,False
OC Safi,17,DF,MAR,Ayman Hadry,False
OC Safi,18,FW,MAR,Imad Khannouss,False
OC Safi,19,FW,MAR,Younes Najari,False
OC Safi,21,MF,FRA,Mohamed Chemlal,False
OC Safi,22,FW,MAR,Anass Eddaou,False
OC Safi,24,DF,MAR,Yasser Ezzine,False
OC Safi,25,GK,MAR,Youssef El Motie,False
OC Safi,26,GK,MAR,Imad Askar,False
OC Safi,27,FW,MAR,Saad El Morsli,False
OC Safi,28,FW,TUN,Achref Habbassi,False
OC Safi,29,MF,MAR,Soulaimane El Bouchqali,False
OC Safi,31,DF,MAR,Hamza Semmoumy,False
OC Safi,32,DF,MAR,Imad Serbout,False
OC Safi,-,MF,MAR,Ayman Ouhatti,False
