Club,Number,Position,Nationality,Player,Captain
Raja CA,1,GK,MAR,El Mehdi Al Harrar,False
Raja CA,2,DF,MAR,Abdelkarim Baadi,False
Raja CA,3,DF,MAR,Amine Khammas,False
Raja CA,4,DF,MAR,Ismael Mokadem,False
Raja CA,5,DF,MAR,Abdellah Khafifi,True
Raja CA,6,MF,MAR,Aymen Barkok,False
Raja CA,7,DF,MAR,Mohamed Boulacsoute,False
Raja CA,8,MF,MAR,Hilal Ferdaoussi,False
Raja CA,9,FW,MAR,Ismail Khafi,False
Raja CA,11,FW,MAR,Ayoub Maamouri,False
Raja CA,12,GK,MAR,Khalid Kbiri Alaoui,False
Raja CA,13,DF,MAR,Badr Benoun,True
Raja CA,15,FW,JOR,Sharara,False
Raja CA,19,MF,MAR,Othmane Chraibi,False
Raja CA,20,DF,MAR,Ayoub El Amloud,False
Raja CA,21,FW,MAR,Mouad Dahak,False
Raja CA,23,MF,MAR,Mohamed Al Makahasi,False
Raja CA,27,FW,NGA,Mathias Oyewusi,False
Raja CA,30,MF,KOS,Besar Halimi,False
Raja CA,32,GK,MAR,Yassine Zoubir,False
Raja CA,33,DF,MAR,Mehdi Mchakhchekh,False
Raja CA,34,MF,MAR,Sabir Bougrine,False
Raja CA,35,MF,GUI,Balla Moussa Conté,False
Raja CA,77,FW,MAR,Adam Ennafati,False
Raja CA,79,FW,SEN,Pape Ousmane Sakho,False
