Club,Number,Position,Nationality,Player,Captain
RS Berkane,1,GK,MAR,Munir Mohamedi,True
RS Berkane,2,DF,MAR,Amine El Maswab,False
RS Berkane,3,DF,MAR,Mohamed Aymen Sadil,False
RS Berkane,4,DF,TUN,Oussama Haddadi,False
RS Berkane,5,MF,MLI,Soumaila Sidibe,False
RS Berkane,8,MF,MAR,Ayoub Khairi,False
RS Berkane,9,FW,MAR,Oussama Lamlioui,False
RS Berkane,10,FW,MAR,Mohamed El Morabit,False
RS Berkane,11,FW,MAR,Youssef Mehri,False
RS Berkane,12,GK,MAR,Mehdi Miftah,False
RS Berkane,14,MF,FRA,Rayane Aabid,False
RS Berkane,15,DF,MAR,Abdelhak Assal,False
RS Berkane,16,GK,MAR,Kamal Bilal,False
RS Berkane,17,MF,MAR,Yassine Labhiri,False
RS Berkane,18,FW,MAR,Imad Riahi,False
RS Berkane,19,DF,MAR,Hamza El Moussaoui,False
RS Berkane,20,DF,MAR,Haytam Manaout,False
RS Berkane,21,FW,MAR,Amine Azri,False
RS Berkane,22,GK,MAR,Anas Zniti,False
RS Berkane,23,FW,MAR,Mounir Chouiar,False
RS Berkane,24,FW,MAR,Youness El Kaabi,False
RS Berkane,27,DF,MAR,Ismaël Kandouss,False
RS Berkane,28,FW,SEN,Paul Bassène,False
RS Berkane,29,MF,FRA,Zinédine Machach,False
RS Berkane,32,MF,MAR,Mohamed Ouyahia,False
RS Berkane,33,DF,MAR,Et-Tayeb Boukhriss,False
RS Berkane,35,MF,MAR,Reda Hajji,False
