Stats,Overall,At Home,At Away
Wins,50%,63%,38%
Draws,50%,38%,63%
Losses,0%,0%,0%
xG For / Match,1.72,1.60,1.84
xG Against / Match,0.97,0.95,0.99
Scored / Match,1.56,1.63,1.5
Conceded / Match,0.44,0.38,0.5
AVG (Match Goals Average),2,2,2
Clean Sheets %,69%,75%,63%
Failed to Score %,31%,25%,38%
Possession AVG,57%,55%,59%
Shots Taken / Match,12.44,12.25,12.63
Shots Conversion Rate,13%,13%,12%
Fouls Committed / Match,11.57,11.5,11.67
Fouled Against / Match,15,17,12.33
Penalties Won,3 in 16,1 in 8,2 in 8
Penalties Conceded,0 in 16,0 in 8,0 in 8
Goal Kicks / Match,6,6,6
Throw-ins / Match,21.08,21.29,20.83
Free-Kicks / Match,2.85,3.29,2.33
