Stats,Overall,At Home,At Away
Wins,41%,67%,13%
Draws,29%,11%,50%
Losses,29%,22%,38%
xG For / Match,1.07,1.05,1.09
xG Against / Match,1.41,1.41,1.40
Scored / Match,0.71,1,0.38
Conceded / Match,0.76,0.56,1
AVG (Match Goals Average),1.47,1.56,1.38
Clean Sheets %,53%,67%,38%
Failed to Score %,41%,11%,75%
Possession AVG,49%,48%,50%
Shots Taken / Match,8.82,8.44,9.25
Shots Conversion Rate,8%,12%,4%
Fouls Committed / Match,14.69,14.78,14.57
Fouled Against / Match,12.69,14.78,10
Penalties Won,1 in 17,0 in 9,1 in 8
Penalties Conceded,0 in 17,0 in 9,0 in 8
Goal Kicks / Match,9,10.11,7.57
Throw-ins / Match,19.19,17.33,21.57
Free-Kicks / Match,2.44,2.89,1.86
