Stats,Overall,At Home,At Away
Wins,31%,25%,38%
Draws,25%,50%,0%
Losses,44%,25%,63%
xG For / Match,1.24,1.24,1.24
xG Against / Match,1.37,1.39,1.36
Scored / Match,0.94,0.75,1.13
Conceded / Match,1.31,0.75,1.88
AVG (Match Goals Average),2.25,1.5,3
Clean Sheets %,31%,50%,13%
Failed to Score %,38%,38%,38%
Possession AVG,48%,46%,50%
Shots Taken / Match,10.25,9.88,10.63
Shots Conversion Rate,9%,8%,11%
Fouls Committed / Match,13.38,13,13.75
Fouled Against / Match,14.5,15,14
Penalties Won,3 in 16,2 in 8,1 in 8
Penalties Conceded,2 in 16,0 in 8,2 in 8
Goal Kicks / Match,6.75,8,5.5
Throw-ins / Match,21,20,22
Free-Kicks / Match,2.25,2.5,2
