Stats,Overall,At Home,At Away
Wins,38%,38%,38%
Draws,38%,38%,38%
Losses,25%,25%,25%
xG For / Match,1.06,1.07,1.06
xG Against / Match,1.38,1.35,1.42
Scored / Match,0.81,0.75,0.88
Conceded / Match,0.94,1.13,0.75
AVG (Match Goals Average),1.75,1.88,1.63
Clean Sheets %,50%,50%,50%
Failed to Score %,38%,50%,25%
Possession AVG,44%,41%,48%
Shots Taken / Match,8.06,8.5,7.63
Shots Conversion Rate,10%,9%,11%
Fouls Committed / Match,13.38,13.13,13.63
Fouled Against / Match,13.25,13.38,13.13
Penalties Won,2 in 16,1 in 8,1 in 8
Penalties Conceded,0 in 16,0 in 8,0 in 8
Goal Kicks / Match,7.69,7.63,7.75
Throw-ins / Match,22.25,20.88,23.63
Free-Kicks / Match,2.56,1.5,3.63
