Stats,Overall,At Home,At Away
Wins,35%,50%,22%
Draws,18%,25%,11%
Losses,47%,25%,67%
xG For / Match,1.39,1.53,1.27
xG Against / Match,1.35,1.28,1.43
Scored / Match,1.18,1.25,1.11
Conceded / Match,1.41,1.13,1.67
AVG (Match Goals Average),2.59,2.38,2.78
Clean Sheets %,18%,25%,11%
Failed to Score %,29%,13%,44%
Possession AVG,49%,51%,48%
Shots Taken / Match,10.59,11.38,9.89
Shots Conversion Rate,11%,11%,11%
Fouls Committed / Match,13.29,14.4,12.67
Fouled Against / Match,10.79,10.8,10.78
Penalties Won,2 in 17,1 in 8,1 in 9
Penalties Conceded,3 in 17,3 in 8,0 in 9
Goal Kicks / Match,7.57,5.6,8.67
Throw-ins / Match,20,21,19.44
Free-Kicks / Match,2.29,2,2.44
