Stats,Overall,At Home,At Away
Wins,24%,25%,22%
Draws,24%,25%,22%
Losses,53%,50%,56%
xG For / Match,1.06,1.19,0.95
xG Against / Match,1.29,1.28,1.30
Scored / Match,0.76,0.75,0.78
Conceded / Match,1.41,1.25,1.56
AVG (Match Goals Average),2.18,2,2.33
Clean Sheets %,24%,25%,22%
Failed to Score %,47%,50%,44%
Possession AVG,47%,44%,49%
Shots Taken / Match,8,9.13,7
Shots Conversion Rate,10%,8%,11%
Fouls Committed / Match,15.21,15,15.43
Fouled Against / Match,13,14.14,11.86
Penalties Won,1 in 17,0 in 8,1 in 9
Penalties Conceded,3 in 17,0 in 8,3 in 9
Goal Kicks / Match,6.64,6.14,7.14
Throw-ins / Match,22.57,22.86,22.29
Free-Kicks / Match,3.29,3.86,2.71
