Stats,Overall,At Home,At Away
Wins,18%,13%,22%
Draws,47%,63%,33%
Losses,35%,25%,44%
xG For / Match,1.26,1.18,1.33
xG Against / Match,1.42,1.41,1.43
Scored / Match,0.82,0.75,0.89
Conceded / Match,1.24,1.13,1.33
AVG (Match Goals Average),2.06,1.88,2.22
Clean Sheets %,12%,25%,0%
Failed to Score %,35%,25%,44%
Possession AVG,51%,54%,49%
Shots Taken / Match,10.18,9.75,10.56
Shots Conversion Rate,8%,8%,8%
Fouls Committed / Match,12.5,11.75,13.25
Fouled Against / Match,14.19,14.5,13.88
Penalties Won,2 in 17,2 in 8,0 in 9
Penalties Conceded,2 in 17,0 in 8,2 in 9
Goal Kicks / Match,7.25,6.38,8.13
Throw-ins / Match,20.13,20.13,20.13
Free-Kicks / Match,4.19,4.38,4
