Stats,Overall,At Home,At Away
Wins,19%,38%,0%
Draws,50%,50%,50%
Losses,31%,13%,50%
xG For / Match,1.36,1.35,1.36
xG Against / Match,1.31,1.31,1.31
Scored / Match,0.81,1.13,0.5
Conceded / Match,0.81,0.63,1
AVG (Match Goals Average),1.63,1.75,1.5
Clean Sheets %,31%,50%,13%
Failed to Score %,44%,38%,50%
Possession AVG,43%,42%,43%
Shots Taken / Match,11.81,10.75,12.88
Shots Conversion Rate,7%,10%,4%
Fouls Committed / Match,14.67,15.86,13.63
Fouled Against / Match,13.07,12.71,13.38
Penalties Won,9 in 16,9 in 8,0 in 8
Penalties Conceded,16 in 16,14 in 8,2 in 8
Goal Kicks / Match,7.6,7,8.13
Throw-ins / Match,20.33,19.57,21
Free-Kicks / Match,4.27,2.86,5.5
