Stats,Overall,At Home,At Away
Wins,59%,75%,44%
Draws,41%,25%,56%
Losses,0%,0%,0%
xG For / Match,1.22,1.42,1.07
xG Against / Match,1.16,1.11,1.19
Scored / Match,1.65,2.13,1.22
Conceded / Match,0.47,0.38,0.56
AVG (Match Goals Average),2.12,2.5,1.78
Clean Sheets %,59%,75%,44%
Failed to Score %,18%,13%,22%
Possession AVG,53%,57%,50%
Shots Taken / Match,9.12,9.75,8.56
Shots Conversion Rate,18%,22%,14%
Fouls Committed / Match,14.93,12.71,16.88
Fouled Against / Match,10.8,8.57,12.75
Penalties Won,2 in 17,1 in 8,1 in 9
Penalties Conceded,3 in 17,0 in 8,3 in 9
Goal Kicks / Match,7.2,6.71,7.63
Throw-ins / Match,17.2,19,15.63
Free-Kicks / Match,1.53,1.29,1.75
