Stats,Overall,At Home,At Away
Wins,12%,11%,13%
Draws,35%,33%,38%
Losses,53%,56%,50%
xG For / Match,1.24,1.35,1.12
xG Against / Match,1.36,1.18,1.57
Scored / Match,0.82,0.78,0.88
Conceded / Match,1.59,1.56,1.63
AVG (Match Goals Average),2.41,2.33,2.5
Clean Sheets %,12%,22%,0%
Failed to Score %,29%,22%,38%
Possession AVG,51%,55%,46%
Shots Taken / Match,9.88,10.44,9.25
Shots Conversion Rate,8%,7%,9%
Fouls Committed / Match,11.6,10.57,12.5
Fouled Against / Match,15.53,15.71,15.38
Penalties Won,3 in 17,1 in 9,2 in 8
Penalties Conceded,2 in 17,1 in 9,1 in 8
Goal Kicks / Match,6.6,4.57,8.38
Throw-ins / Match,21.67,23.71,19.88
Free-Kicks / Match,3.13,3.14,3.13
