Stats,Overall,At Home,At Away
Wins,25%,13%,38%
Draws,25%,25%,25%
Losses,50%,63%,38%
xG For / Match,1.28,1.39,1.18
xG Against / Match,1.55,1.48,1.62
Scored / Match,0.88,0.5,1.25
Conceded / Match,1.5,2,1
AVG (Match Goals Average),2.38,2.5,2.25
Clean Sheets %,19%,0%,38%
Failed to Score %,44%,63%,25%
Possession AVG,44%,49%,40%
Shots Taken / Match,9.56,10.88,8.25
Shots Conversion Rate,9%,5%,15%
Fouls Committed / Match,12.8,12.57,13
Fouled Against / Match,14.93,18.43,11.88
Penalties Won,2 in 16,1 in 8,1 in 8
Penalties Conceded,2 in 16,1 in 8,1 in 8
Goal Kicks / Match,7.93,7.29,8.57
Throw-ins / Match,21.71,22.86,20.57
Free-Kicks / Match,3.5,4.43,2.57
