Stats,Overall,At Home,At Away
Wins,56%,67%,43%
Draws,38%,33%,43%
Losses,6%,0%,14%
xG For / Match,1.42,1.47,1.36
xG Against / Match,1.09,0.79,1.47
Scored / Match,1.31,1.56,1
Conceded / Match,0.31,0.22,0.43
AVG (Match Goals Average),1.63,1.78,1.43
Clean Sheets %,69%,78%,57%
Failed to Score %,25%,22%,29%
Possession AVG,59%,60%,58%
Shots Taken / Match,11,11.78,10
Shots Conversion Rate,12%,13%,10%
Fouls Committed / Match,12,12,12
Fouled Against / Match,12.56,12.56,12.57
Penalties Won,3 in 16,2 in 9,1 in 7
Penalties Conceded,1 in 16,1 in 9,0 in 7
Goal Kicks / Match,6.56,6.22,7
Throw-ins / Match,17.44,19,15.43
Free-Kicks / Match,2.31,2.22,2.43
