Stats,Overall,At Home,At Away
Wins,44%,63%,25%
Draws,38%,38%,38%
Losses,19%,0%,38%
xG For / Match,1.50,1.68,1.32
xG Against / Match,1.24,1.10,1.38
Scored / Match,1.5,1.75,1.25
Conceded / Match,1,1,1
AVG (Match Goals Average),2.5,2.75,2.25
Clean Sheets %,25%,25%,25%
Failed to Score %,19%,0%,38%
Possession AVG,56%,56%,56%
Shots Taken / Match,11.56,12,11.13
Shots Conversion Rate,13%,15%,11%
Fouls Committed / Match,12.33,10,15
Fouled Against / Match,12.27,11.63,13
Penalties Won,3 in 16,2 in 8,1 in 8
Penalties Conceded,1 in 16,0 in 8,1 in 8
Goal Kicks / Match,6.33,6.88,5.71
Throw-ins / Match,20.2,18.88,21.71
Free-Kicks / Match,2.6,2.75,2.43
