Stats,Overall,At Home,At Away
Wins,12%,13%,11%
Draws,29%,25%,33%
Losses,59%,63%,56%
xG For / Match,1.40,1.56,1.26
xG Against / Match,1.20,1.18,1.22
Scored / Match,1,1.13,0.89
Conceded / Match,1.65,1.75,1.56
AVG (Match Goals Average),2.65,2.88,2.44
Clean Sheets %,12%,13%,11%
Failed to Score %,29%,13%,44%
Possession AVG,52%,53%,51%
Shots Taken / Match,11.59,13.25,10.11
Shots Conversion Rate,9%,8%,9%
Fouls Committed / Match,11.87,11,12.63
Fouled Against / Match,16.73,16,17.38
Penalties Won,14 in 17,1 in 8,13 in 9
Penalties Conceded,12 in 17,3 in 8,9 in 9
Goal Kicks / Match,5.73,3.71,7.5
Throw-ins / Match,22.73,25.57,20.25
Free-Kicks / Match,3.93,3.86,4
