Stats,Overall,At Home,At Away
Wins,0%,0%,0%
Draws,63%,67%,57%
Losses,38%,33%,43%
xG For / Match,1.18,1.20,1.16
xG Against / Match,1.49,1.57,1.37
Scored / Match,0.94,1.22,0.57
Conceded / Match,1.5,1.67,1.29
AVG (Match Goals Average),2.44,2.89,1.86
Clean Sheets %,0%,0%,0%
Failed to Score %,25%,11%,43%
Possession AVG,45%,43%,47%
Shots Taken / Match,8.63,9.22,7.86
Shots Conversion Rate,11%,13%,7%
Fouls Committed / Match,14.13,14.56,13.57
Fouled Against / Match,14.06,14,14.14
Penalties Won,2 in 16,1 in 9,1 in 7
Penalties Conceded,5 in 16,4 in 9,1 in 7
Goal Kicks / Match,8.63,8.67,8.57
Throw-ins / Match,20.63,19.67,21.86
Free-Kicks / Match,4.5,4.78,4.14
