Stats,Overall,At Home,At Away
Wins,53%,50%,56%
Draws,24%,25%,22%
Losses,24%,25%,22%
xG For / Match,1.49,1.54,1.46
xG Against / Match,1.30,1.25,1.35
Scored / Match,1.59,1.25,1.89
Conceded / Match,0.88,0.75,1
AVG (Match Goals Average),2.47,2,2.89
Clean Sheets %,35%,50%,22%
Failed to Score %,24%,13%,33%
Possession AVG,52%,51%,53%
Shots Taken / Match,12.06,12.75,11.44
Shots Conversion Rate,13%,10%,17%
Fouls Committed / Match,16,15.29,16.71
Fouled Against / Match,10.43,10.29,10.57
Penalties Won,2 in 17,1 in 8,1 in 9
Penalties Conceded,2 in 17,1 in 8,1 in 9
Goal Kicks / Match,7.36,7.43,7.29
Throw-ins / Match,18.93,18.86,19
Free-Kicks / Match,3.07,3.14,3
