Team Shots,Overall,At Home,At Away
Shots / Match,12.06,12.75,11.44
Shots On Target / Match,4.76,4.88,4.67
Shots Off Target / Match,7.29,7.88,6.78
Shots Conversion Rate,13%,10%,17%
Shots Per Goal Scored,7.59,10.2,6.06
Shots On Target Per Goal Scored,3,3.9,2.47
Team Shots Over 10.5,65%,75%,56%
Team Shots Over 11.5,47%,63%,33%
Team Shots Over 12.5,35%,50%,22%
Team Shots Over 13.5,35%,50%,22%
Team Shots Over 14.5,28%,50%,22%
Team Shots Over 15.5,24%,50%,22%
Team Shots On Target Over 3.5,59%,63%,56%
Team Shots On Target Over 4.5,59%,63%,56%
Team Shots On Target Over 5.5,28%,38%,22%
Team Shots On Target Over 6.5,18%,25%,11%
