Unnamed: 0,Team,MP,Win,GFGoals For (GF). The number of goals this team have scored.,GAGoals Against (GA). The number of goals this team have conceded.,GDGoal Difference (GD). Goals Scored - Goals Conceded,Pts,AVGAverage Goals Per Match (AVG). The average number of total goals per match. Calculated across this season.
1,Maghreb Fès,17,59%,28,8,20,37,2.12
2,Raja Casablanca,16,56%,21,5,16,33,1.63
3,FAR Rabat,16,50%,25,7,18,32,2.0
4,Wydad Casablanca,17,53%,27,15,12,31,2.47
5,RSB Berkane,16,44%,24,16,8,27,2.5
6,CODM Meknès,17,41%,12,13,-1,26,1.47
7,Difaâ El Jadida,16,38%,13,15,-2,24,1.75
8,FUS Rabat,17,35%,20,24,-4,21,2.59
9,CR Khemis Zemamra,16,31%,15,21,-6,19,2.25
10,Kawkab Marrakech,16,19%,13,13,0,17,1.63
11,Ittihad Tanger,17,18%,14,21,-7,17,2.06
12,Olympique Dcheïra,16,25%,14,24,-10,16,2.38
13,Hassania Agadir,17,24%,13,24,-11,16,2.18
14,Olympic Safi,17,12%,14,27,-13,12,2.41
15,Yacoub El Mansour,17,12%,17,28,-11,11,2.65
16,UTS Rabat,16,0%,15,24,-9,10,2.44
